Configuration,Run,Fitness,Evaluations,Runtime,Error
GA_Boltzmann_TwoPoint,1,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Boltzmann_TwoPoint,2,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Boltzmann_TwoPoint,3,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Boltzmann_TwoPoint_Gray,1,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Boltzmann_TwoPoint_Gray,2,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Boltzmann_TwoPoint_Gray,3,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Hybrid,1,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Hybrid,2,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Hybrid,3,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Hybrid_Gray,1,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Hybrid_Gray,2,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
GA_Hybrid_Gray,3,inf,0,0,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
